idx,description,wnid,base_accuracy
294,brown_bear,n02132136,0.84
305,dung_beetle,n02172182,0.84
326,lycaenid,n02281787,0.84
362,badger,n02447366,0.84
372,baboon,n02486410,0.84
379,howler_monkey,n02492660,0.84
384,indri,n02500267,0.84
388,giant_panda,n02510455,0.84
417,balloon,n02782093,0.84
458,brass,n02892201,0.84
472,canoe,n02951358,0.84
496,Christmas_stocking,n03026506,0.84
500,cliff_dwelling,n03042490,0.84
522,croquet_ball,n03134739,0.84
540,drilling_platform,n03240683,0.84
562,fountain,n03388043,0.84
576,gondola,n03447447,0.84
604,hourglass,n03544143,0.84
621,lawn_mower,n03649909,0.84
642,marimba,n03721384,0.84
679,necklace,n03814906,0.84
812,space_shuttle,n04266014,0.84
820,steam_locomotive,n04310018,0.84
990,buckeye,n12768682,0.84
69,trilobite,n01768244,0.86
83,prairie_chicken,n01798484,0.86
127,white_stork,n02002556,0.86
142,dowitcher,n02033041,0.86
145,king_penguin,n02056570,0.86
147,grey_whale,n02066245,0.86
221,Irish_water_spaniel,n02102973,0.86
228,komondor,n02105505,0.86
244,Tibetan_mastiff,n02108551,0.86
268,Mexican_hairless,n02113978,0.86
301,ladybug,n02165456,0.86
317,leafhopper,n02259212,0.86
322,ringlet,n02277742,0.86
324,cabbage_butterfly,n02280649,0.86
354,Arabian_camel,n02437312,0.86
361,skunk,n02445715,0.86
407,ambulance,n02701002,0.86
410,apiary,n02727426,0.86
448,birdhouse,n02843684,0.86
802,snowmobile,n04252077,0.86
805,soccer_ball,n04254680,0.86
832,stupa,n04346328,0.86
863,totem_pole,n04458633,0.86
927,trifle,n07613480,0.86
933,cheeseburger,n07697313,0.86
945,bell_pepper,n07720875,0.86
948,Granny_Smith,n07742313,0.86
993,gyromitra,n13037406,0.86
14,indigo_bunting,n01537544,0.88
19,chickadee,n01592084,0.88
88,macaw,n01818515,0.88
95,jacamar,n01843065,0.88
138,bustard,n02018795,0.88
156,Blenheim_spaniel,n02086646,0.88
178,Weimaraner,n02092339,0.88
258,Samoyed,n02111889,0.88
259,Pomeranian,n02112018,0.88
296,ice_bear,n02134084,0.88
323,monarch,n02279972,0.88
325,sulphur_butterfly,n02281406,0.88
350,ibex,n02417914,0.88
351,hartebeest,n02422106,0.88
396,lionfish,n02643566,0.88
537,dogsled,n03218198,0.88
554,fireboat,n03344393,0.88
612,jinrikisha,n03599486,0.88
669,mosquito_net,n03788365,0.88
688,oscilloscope,n03857828,0.88
694,paddlewheel,n03874293,0.88
713,photocopier,n03924679,0.88
716,picket_fence,n03930313,0.88
779,school_bus,n04146614,0.88
783,screw,n04153751,0.88
829,streetcar,n04335435,0.88
955,jackfruit,n07754684,0.88
988,acorn,n12267677,0.88
15,robin,n01558993,0.9
87,African_grey,n01817953,0.9
92,bee_eater,n01828970,0.9
94,hummingbird,n01833805,0.9
130,flamingo,n02007558,0.9
239,Bernese_mountain_dog,n02107683,0.9
247,Saint_Bernard,n02109525,0.9
292,tiger,n02129604,0.9
321,admiral,n02276258,0.9
392,rock_beauty,n02606052,0.9
416,balance_beam,n02777292,0.9
547,electric_locomotive,n03272562,0.9
548,entertainment_center,n03290653,0.9
625,lifeboat,n03662601,0.9
640,manhole_cover,n03717622,0.9
646,maze,n03733281,0.9
668,mosque,n03788195,0.9
727,planetarium,n03956157,0.9
873,triumphal_arch,n04486054,0.9
916,web_site,n06359193,0.9
937,broccoli,n07714990,0.9
9,ostrich,n01518878,0.92
13,junco,n01534433,0.92
24,great_grey_owl,n01622779,0.92
136,European_gallinule,n02017213,0.92
293,cheetah,n02130308,0.92
332,Angora,n02328150,0.92
339,sorrel,n02389026,0.92
347,bison,n02410509,0.92
425,barn,n02793495,0.92
439,bearskin,n02817516,0.92
466,bullet_train,n02917067,0.92
475,car_mirror,n02965783,0.92
569,garbage_truck,n03417042,0.92
628,liner,n03673027,0.92
701,parachute,n03888257,0.92
746,puck,n04019541,0.92
803,snowplow,n04252225,0.92
886,vending_machine,n04525305,0.92
890,volleyball,n04540053,0.92
984,rapeseed,n11879895,0.92
989,hip,n12620546,0.92
22,bald_eagle,n01614925,0.94
25,European_fire_salamander,n01629819,0.94
90,lorikeet,n01820546,0.94
100,black_swan,n01860187,0.94
102,echidna,n01872401,0.94
135,limpkin,n02013706,0.94
148,killer_whale,n02071294,0.94
218,Welsh_springer_spaniel,n02102177,0.94
275,African_hunting_dog,n02116738,0.94
284,Siamese_cat,n02123597,0.94
340,zebra,n02391049,0.94
376,proboscis_monkey,n02489166,0.94
387,lesser_panda,n02509815,0.94
476,carousel,n02966193,0.94
645,maypole,n03733131,0.94
755,radio_telescope,n04044716,0.94
800,slot,n04243546,0.94
900,water_tower,n04562935,0.94
946,cardoon,n07730033,0.94
974,geyser,n09288635,0.94
129,spoonbill,n02006656,0.96
251,dalmatian,n02110341,0.96
255,Leonberg,n02111129,0.96
333,hamster,n02342885,0.96
565,freight_car,n03393912,0.96
607,jack-o'-lantern,n03590841,0.96
991,coral_fungus,n12985857,0.96
139,ruddy_turnstone,n02025239,0.98
685,odometer,n03841143,0.98
985,daisy,n11939491,0.98
986,yellow_lady's_slipper,n12057211,1
995,earthstar,n13044778,1
